BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max,BandGap_class
1.14,400.28,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65,0
1.53,300.31,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13,0
2.35,300.56,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13,0
2.2,300.44,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13,0
0.13,446.31,186.67,158,217,134.0,119,144,138.33,115,155,7.23,5.73,8.65,0
0.88,474.04,191.33,158,210,131.33,111,144,136.67,110,155,5.89,2.33,8.65,0
0.75,474.07,191.33,158,210,131.33,111,144,136.67,110,155,5.89,2.33,8.65,0
0.78,431.46,185.0,139,210,124.0,111,139,130.0,110,145,5.38,2.33,7.13,0
1.15,432.01,185.0,139,210,124.0,111,139,130.0,110,145,5.38,2.33,7.13,0
0.19,493.09,191.67,158,211,134.33,120,144,141.67,125,155,6.89,5.32,8.65,0
