compound,BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max,d001,d002,d003,bandgap_SISSO
ZnSiP2  ,1.53,300.31,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13,28.469588841700663,-7360.940744236723,0.003880623395816168,2.15673596146829
ZnSiP2  ,2.35,300.56,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13,28.45863033366776,-7360.940744236723,0.003880623395816168,2.154946007218493
ZnSiP2  ,2.2,300.44,176.33,139,210,113.33,107,122,115.0,100,135,3.76,1.82,7.13,28.463887614985012,-7360.940744236723,0.003880623395816168,2.155804727493912
CdSnAs2  ,0.07,446.11,186.67,158,217,134.0,119,144,138.33,115,155,7.23,5.73,8.65,12.644687608916222,-1335.7623615970037,0.00013593261972792662,0.06485708590730854
CdSnAs2  ,0.05,446.14,186.67,158,217,134.0,119,144,138.33,115,155,7.23,5.73,8.65,12.644386469119338,-1335.7623615970037,0.00013593261972792662,0.06480789796515496
CdSnAs2  ,0.13,446.31,186.67,158,217,134.0,119,144,138.33,115,155,7.23,5.73,8.65,12.642680910317038,-1335.7623615970037,0.00013593261972792662,0.06452931330588485
ZnGeSb2  ,0.05,447.38,185.33,139,211,127.0,120,139,135.0,125,145,6.38,5.32,7.13,14.57667628003456,-2956.224302288373,0.0008475614783116253,0.2563860688204025
ZnGeSb2  ,0.02,447.96,185.33,139,211,127.0,120,139,135.0,125,145,6.38,5.32,7.13,14.570813573562301,-2956.224302288373,0.0008475614783116253,0.25542845886712917
CdSiSb2 ,0.88,474.04,191.33,158,210,131.33,111,144,136.67,110,155,5.89,2.33,8.65,18.675553386119216,-2799.0305237248717,0.0007539446040639947,0.9386363815785466
CdSiSb2 ,0.75,474.07,191.33,158,210,131.33,111,144,136.67,110,155,5.89,2.33,8.65,18.675159482674847,-2799.0305237248717,0.0007539446040639947,0.9385720416937609
ZnSiSb2  ,0.78,431.46,185.0,139,210,124.0,111,139,130.0,110,145,5.38,2.33,7.13,19.690260840622525,-4078.6492793731136,-0.0015359406433309174,1.0888180775470675
ZnSiSb2  ,1.15,432.01,185.0,139,210,124.0,111,139,130.0,110,145,5.38,2.33,7.13,19.682186528005786,-4078.6492793731136,-0.0015359406433309174,1.0874992255519669
CdGeSb2  ,0.09,492.76,191.67,158,211,134.33,120,144,141.67,125,155,6.89,5.32,8.65,14.107426466901739,-2326.307630638554,0.00011740644071458365,0.24105954916059802
CdGeSb2  ,0.19,493.09,191.67,158,211,134.33,120,144,141.67,125,155,6.89,5.32,8.65,14.10439947970701,-2326.307630638554,0.00011740644071458365,0.24056512340692637
ZnSnSb2  ,0.02,493.42,187.33,139,217,133.33,122,139,141.67,135,145,7.04,6.69,7.31,13.031882126105813,-2746.0396722407504,0.00010105266000671776,0.03904969151587512
ZnSnSb2  ,0.05,493.83,187.33,139,217,133.33,122,139,141.67,135,145,7.04,6.69,7.31,13.028834506247614,-2746.0396722407504,0.00010105266000671776,0.038551895638866185
ZnSnSb2  ,0.04,494.12,187.33,139,217,133.33,122,139,141.67,135,145,7.04,6.69,7.31,13.026682355978066,-2746.0396722407504,0.00010105266000671776,0.03820036507379143
CdSnSb2  ,0.06,544.1,193.67,158,217,140.67,139,144,148.33,145,155,7.55,6.69,8.65,13.613563784096003,-3199.156431892738,3.431899067945619e-05,0.10705342181594646
CdSnSb2 ,0.06,544.27,193.67,158,217,140.67,139,144,148.33,145,155,7.55,6.69,8.65,13.612329073938959,-3199.156431892738,3.431899067945619e-05,0.10685174521122698
CdSnSb2 ,0.09,544.54,193.67,158,217,140.67,139,144,148.33,145,155,7.55,6.69,8.65,13.610369878092776,-3199.156431892738,3.431899067945619e-05,0.10653173167283891
